Archivo,Datos
0,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,n2.5,2.5,n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
1,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,n2.5,2.5,1 (1)n3.5,2.5,n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
2,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
3,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
4,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
5,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,n2.5,2.5,1 (2)n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (1)"
6,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
7,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (2)n1.5,1.5,1 (1)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
8,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,n3.5,0.5,1 (1)"
9,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,"
10,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,n3.5,2.5,1 (1)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
11,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,n3.5,2.5,1 (1)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
12,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
13,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (1)"
14,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,n3.5,2.5,1 (1)n0.5,1.5,1 (1)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
15,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,n3.5,2.5,1 (1)n0.5,1.5,1 (2)n1.5,1.5,1 (2)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
16,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (1)n3.5,1.5,1 (2)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,n3.5,0.5,1 (1)"
17,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (2)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,"
18,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
19,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (2)n3.5,2.5,n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
20,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,n0.5,1.5,1 (1)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
21,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,n0.5,1.5,1 (2)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
22,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,1 (1)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
23,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,n1.5,1.5,1 (1)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (1)n1.5,0.5,1 (2)n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
24,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (1)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,1 (1)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (1)"
25,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
26,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
27,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,1 (2)n2.5,0.5,n3.5,0.5,1 (1)"
28,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,"
29,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
30,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (2)n3.5,2.5,1 (1)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (1)n3.5,1.5,n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,1 (2)n3.5,0.5,1 (1)"
31,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (1)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
32,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
33,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,n3.5,0.5,1 (1)"
34,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (1)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (2)n1.5,0.5,1 (1)n2.5,0.5,1 (2)n3.5,0.5,"
35,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,n3.5,1.5,n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (1)n3.5,0.5,1 (1)"
36,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (1)n1.5,1.5,1 (2)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,n1.5,0.5,1 (2)n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
37,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (2)n1.5,1.5,1 (3)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
38,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,n3.5,0.5,1 (1)"
39,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (1)n3.5,0.5,"
40,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (1)n0.5,1.5,1 (1)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (1)"
41,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (1)n0.5,1.5,1 (2)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (2)n3.5,0.5,1 (1)"
42,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,n3.5,0.5,1 (1)"
43,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,"
44,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
45,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (1)n2.5,0.5,n3.5,0.5,1 (1)"
46,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,"
47,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (2)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,n3.5,0.5,1 (1)"
48,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (2)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (1)n3.5,0.5,"
